	chromosome_name	external_gene_name	description	gene_biotype
PPP2R2D	10	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta [Source:HGNC Symbol;Acc:HGNC:23732]	protein_coding
PPP2R3A	3	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha [Source:HGNC Symbol;Acc:HGNC:9307]	protein_coding
PPP2R3B	X	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]	protein_coding
PPP2R3C	14	PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	protein_coding
PPP2R5A	1	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	protein_coding
PPP2R5B	11	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	protein_coding
PPP2R5C	14	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	protein_coding
PPP2R5D	6	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	protein_coding
PPP2R5E	14	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	protein_coding
PPP3CA	4	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	protein_coding
PPP3CB	10	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	protein_coding
PPP3R1	2	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	protein_coding
PPP3R2	9	PPP3R2	protein phosphatase 3 regulatory subunit B, beta [Source:HGNC Symbol;Acc:HGNC:9318]	protein_coding
PPP4C	16	PPP4C	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	protein_coding
PPP4R1	18	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]	protein_coding
PPP4R2	3	PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	protein_coding
PPP4R4	14	PPP4R4	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]	protein_coding
PPP5C	19	PPP5C	protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]	protein_coding
PPP6C	9	PPP6C	protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]	protein_coding
PPP6R1	19	PPP6R1	protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]	protein_coding
PPP6R2	22	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]	protein_coding
PPP6R3	11	PPP6R3	protein phosphatase 6 regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:1173]	protein_coding
DESI2	1	DESI2	desumoylating isopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24264]	protein_coding
DESI1	22	DESI1	desumoylating isopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:24577]	protein_coding
PPRC1	10	PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	protein_coding
PPT1	1	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	protein_coding
PPT2	6	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	protein_coding
PPTC7	12	PPTC7	protein phosphatase targeting COQ7 [Source:HGNC Symbol;Acc:HGNC:30695]	protein_coding
PPWD1	5	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954]	protein_coding
PPY	17	PPY	pancreatic polypeptide [Source:HGNC Symbol;Acc:HGNC:9327]	protein_coding
PQBP1	X	PQBP1	polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]	protein_coding
PRADC1	2	PRADC1	protease associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16047]	protein_coding
PRAM1	19	PRAM1	PML-RARA regulated adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:30091]	protein_coding
PRAME	22	PRAME	PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]	protein_coding
PRAMEF1	1	PRAMEF1	PRAME family member 1 [Source:HGNC Symbol;Acc:HGNC:28840]	protein_coding
PRAMEF10	1	PRAMEF10	PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]	protein_coding
PRAMEF11	1	PRAMEF11	PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]	protein_coding
PRAMEF12	1	PRAMEF12	PRAME family member 12 [Source:HGNC Symbol;Acc:HGNC:22125]	protein_coding
PRAMEF13	1	PRAMEF13	PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262]	protein_coding
PRAMEF14	1	PRAMEF14	PRAME family member 14 [Source:HGNC Symbol;Acc:HGNC:13576]	protein_coding
PRAMEF17	1	PRAMEF17	PRAME family member 17 [Source:HGNC Symbol;Acc:HGNC:29485]	protein_coding
PRAMEF18	1	PRAMEF18	PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]	protein_coding
PRAMEF2	1	PRAMEF2	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]	protein_coding
PRAMEF20	1	PRAMEF20	PRAME family member 20 [Source:HGNC Symbol;Acc:HGNC:25224]	protein_coding
PRAMEF4	1	PRAMEF4	PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]	protein_coding
PRAMEF6	1	PRAMEF6	PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]	protein_coding
PRAMEF8	1	PRAMEF8	PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]	protein_coding
PRB1	12	PRB1	proline rich protein BstNI subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9337]	protein_coding
PRB2	12	PRB2	proline rich protein BstNI subfamily 2 [Source:HGNC Symbol;Acc:HGNC:9338]	protein_coding
PRB3	12	PRB3	proline rich protein BstNI subfamily 3 [Source:HGNC Symbol;Acc:HGNC:9339]	protein_coding
PRB4	12	PRB4	proline rich protein BstNI subfamily 4 [Source:HGNC Symbol;Acc:HGNC:9340]	protein_coding
PRC1	15	PRC1	protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]	protein_coding
PRCC	1	PRCC	proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]	protein_coding
PRCD	17	PRCD	photoreceptor disc component [Source:HGNC Symbol;Acc:HGNC:32528]	protein_coding
PRCP	11	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	protein_coding
PRDM1	6	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	protein_coding
PRDM10	11	PRDM10	PR/SET domain 10 [Source:HGNC Symbol;Acc:HGNC:13995]	protein_coding
PRDM12	9	PRDM12	PR/SET domain 12 [Source:HGNC Symbol;Acc:HGNC:13997]	protein_coding
PRDM13	6	PRDM13	PR/SET domain 13 [Source:HGNC Symbol;Acc:HGNC:13998]	protein_coding
PRDM14	8	PRDM14	PR/SET domain 14 [Source:HGNC Symbol;Acc:HGNC:14001]	protein_coding
PRDM15	21	PRDM15	PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]	protein_coding
PRDM16	1	PRDM16	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	protein_coding
PRDM2	1	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	protein_coding
PRDM4	12	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	protein_coding
PRDM5	4	PRDM5	PR/SET domain 5 [Source:HGNC Symbol;Acc:HGNC:9349]	protein_coding
PRDM6	5	PRDM6	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]	protein_coding
PRDM7	16	PRDM7	PR/SET domain 7 [Source:HGNC Symbol;Acc:HGNC:9351]	protein_coding
PRDM8	4	PRDM8	PR/SET domain 8 [Source:HGNC Symbol;Acc:HGNC:13993]	protein_coding
PRDM9	5	PRDM9	PR/SET domain 9 [Source:HGNC Symbol;Acc:HGNC:13994]	protein_coding
PRDX1	1	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	protein_coding
PRDX2	19	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	protein_coding
PRDX3	10	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	protein_coding
PRDX4	X	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	protein_coding
PRDX5	11	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	protein_coding
PRDX6	1	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	protein_coding
PREB	2	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	protein_coding
PRELID1	5	PRELID1	PRELI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30255]	protein_coding
PRELID2	5	PRELID2	PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]	protein_coding
PRELP	1	PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	protein_coding
PREP	6	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	protein_coding
PREPL	2	PREPL	prolyl endopeptidase like [Source:HGNC Symbol;Acc:HGNC:30228]	protein_coding
PREX1	20	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	protein_coding
PREX2	8	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]	protein_coding
PRF1	10	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	protein_coding
PRG3	11	PRG3	proteoglycan 3, pro eosinophil major basic protein 2 [Source:HGNC Symbol;Acc:HGNC:9363]	protein_coding
PRG4	1	PRG4	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]	protein_coding
PRH1	12	PRH1	proline rich protein HaeIII subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9366]	protein_coding
PRH2	12	PRH2	proline rich protein HaeIII subfamily 2 [Source:HGNC Symbol;Acc:HGNC:9367]	protein_coding
HELZ2	20	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	protein_coding
PRICKLE1	12	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	protein_coding
PRICKLE2	3	PRICKLE2	prickle planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:20340]	protein_coding
PRICKLE3	X	PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]	protein_coding
PRICKLE4	6	PRICKLE4	prickle planar cell polarity protein 4 [Source:HGNC Symbol;Acc:HGNC:16805]	protein_coding
PRIM1	12	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	protein_coding
PRIMA1	14	PRIMA1	proline rich membrane anchor 1 [Source:HGNC Symbol;Acc:HGNC:18319]	protein_coding
PRKAA1	5	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	protein_coding
PRKAA2	1	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	protein_coding
PRKAB1	12	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	protein_coding
PRKAB2	1	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	protein_coding
PRKACA	19	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	protein_coding
PRKACB	1	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	protein_coding
PRKACG	9	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	protein_coding
PRKAG1	12	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	protein_coding
PRKAG2	7	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	protein_coding
PRKAG3	2	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:9387]	protein_coding
PRKAR1A	17	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	protein_coding
PRKAR1B	7	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9390]	protein_coding
PRKAR2A	3	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	protein_coding
PRKAR2B	7	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	protein_coding
PRKCA	17	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	protein_coding
PRKCB	16	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	protein_coding
PRKCD	3	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	protein_coding
PRKCE	2	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	protein_coding
PRKCG	19	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	protein_coding
PRKCH	14	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	protein_coding
PRKCI	3	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	protein_coding
PRKCQ	10	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	protein_coding
PRKCSH	19	PRKCSH	protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411]	protein_coding
PRKCZ	1	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	protein_coding
PRKD1	14	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	protein_coding
PRKD2	19	PRKD2	protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]	protein_coding
PRKD3	2	PRKD3	protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]	protein_coding
PRKDC	8	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	protein_coding
PRKG1	10	PRKG1	protein kinase cGMP-dependent 1 [Source:HGNC Symbol;Acc:HGNC:9414]	protein_coding
PRKG2	4	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	protein_coding
PRKRA	2	PRKRA	protein activator of interferon induced protein kinase EIF2AK2 [Source:HGNC Symbol;Acc:HGNC:9438]	protein_coding
PRKRIP1	7	PRKRIP1	PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894]	protein_coding
PRKX	X	PRKX	protein kinase X-linked [Source:HGNC Symbol;Acc:HGNC:9441]	protein_coding
PRKY	Y	PRKY	protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444]	transcribed_unitary_pseudogene
PRL	6	PRL	prolactin [Source:HGNC Symbol;Acc:HGNC:9445]	protein_coding
PRLH	2	PRLH	prolactin releasing hormone [Source:HGNC Symbol;Acc:HGNC:17945]	protein_coding
PRLHR	10	PRLHR	prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464]	protein_coding
PRLR	5	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	protein_coding
PRM1	16	PRM1	protamine 1 [Source:HGNC Symbol;Acc:HGNC:9447]	protein_coding
PRM2	16	PRM2	protamine 2 [Source:HGNC Symbol;Acc:HGNC:9448]	protein_coding
PRM3	16	PRM3	protamine 3 [Source:HGNC Symbol;Acc:HGNC:13732]	protein_coding
PRMT1	19	PRMT1	protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]	protein_coding
PRMT2	21	PRMT2	protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186]	protein_coding
PRMT3	11	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	protein_coding
PRMT5	14	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	protein_coding
PRMT6	1	PRMT6	protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]	protein_coding
PRMT7	16	PRMT7	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	protein_coding
PRMT8	12	PRMT8	protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188]	protein_coding
PRND	20	PRND	prion like protein doppel [Source:HGNC Symbol;Acc:HGNC:15748]	protein_coding
PRNP	20	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	protein_coding
PROC	2	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	protein_coding
PROCA1	17	PROCA1	protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]	protein_coding
PROCR	20	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	protein_coding
PRODH	22	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	protein_coding
PRODH2	19	PRODH2	proline dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:17325]	protein_coding
PROK1	1	PROK1	prokineticin 1 [Source:HGNC Symbol;Acc:HGNC:18454]	protein_coding
PROK2	3	PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	protein_coding
PROKR1	2	PROKR1	prokineticin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4524]	protein_coding
PROKR2	20	PROKR2	prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836]	protein_coding
PROM1	4	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	protein_coding
PROM2	2	PROM2	prominin 2 [Source:HGNC Symbol;Acc:HGNC:20685]	protein_coding
PROP1	5	PROP1	PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]	protein_coding
PROS1	3	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	protein_coding
PROSER1	13	PROSER1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	protein_coding
PROX1	1	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	protein_coding
PROX2	14	PROX2	prospero homeobox 2 [Source:HGNC Symbol;Acc:HGNC:26715]	protein_coding
PROZ	13	PROZ	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	protein_coding
PRPF18	10	PRPF18	pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351]	protein_coding
PRPF19	11	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	protein_coding
PRPF3	1	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	protein_coding
PRPF31	19	PRPF31	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	protein_coding
PRPF38A	1	PRPF38A	pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930]	protein_coding
PRPF38B	1	PRPF38B	pre-mRNA processing factor 38B [Source:HGNC Symbol;Acc:HGNC:25512]	protein_coding
PRPF39	14	PRPF39	pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314]	protein_coding
PRPF4	9	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	protein_coding
PRPF40A	2	PRPF40A	pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]	protein_coding
PRPF40B	12	PRPF40B	pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]	protein_coding
PRPF4B	6	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	protein_coding
PRPF6	20	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	protein_coding
PRPF8	17	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	protein_coding
PRPH	12	PRPH	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]	protein_coding
PRPH2	6	PRPH2	peripherin 2 [Source:HGNC Symbol;Acc:HGNC:9942]	protein_coding
PRPS1	X	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	protein_coding
PRPS1L1	7	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:9463]	protein_coding
PRPS2	X	PRPS2	phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]	protein_coding
PRPSAP1	17	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	protein_coding
PRPSAP2	17	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:9467]	protein_coding
PRR11	17	PRR11	proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]	protein_coding
PRR12	19	PRR12	proline rich 12 [Source:HGNC Symbol;Acc:HGNC:29217]	protein_coding
PRR13	12	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	protein_coding
PRR14	16	PRR14	proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]	protein_coding
PRR14L	22	PRR14L	proline rich 14 like [Source:HGNC Symbol;Acc:HGNC:28738]	protein_coding
PRR15	7	PRR15	proline rich 15 [Source:HGNC Symbol;Acc:HGNC:22310]	protein_coding
PRR15L	17	PRR15L	proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]	protein_coding
PRR16	5	PRR16	proline rich 16 [Source:HGNC Symbol;Acc:HGNC:29654]	protein_coding
PRR18	6	PRR18	proline rich 18 [Source:HGNC Symbol;Acc:HGNC:28574]	protein_coding
PRR19	19	PRR19	proline rich 19 [Source:HGNC Symbol;Acc:HGNC:33728]	protein_coding
PRR22	19	PRR22	proline rich 22 [Source:HGNC Symbol;Acc:HGNC:28354]	protein_coding
PRR23A	3	PRR23A	proline rich 23A [Source:HGNC Symbol;Acc:HGNC:37172]	protein_coding
PRR23B	3	PRR23B	proline rich 23B [Source:HGNC Symbol;Acc:HGNC:33764]	protein_coding
PRR3	6	PRR3	proline rich 3 [Source:HGNC Symbol;Acc:HGNC:21149]	protein_coding
PRR4	12	PRR4	proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]	protein_coding
PRR5L	11	PRR5L	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	protein_coding
PRR9	1	PRR9	proline rich 9 [Source:HGNC Symbol;Acc:HGNC:32057]	protein_coding
PRRC1	5	PRRC1	proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164]	protein_coding
PRRC2A	6	PRRC2A	proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	protein_coding
PRRC2B	9	PRRC2B	proline rich coiled-coil 2B [Source:HGNC Symbol;Acc:HGNC:28121]	protein_coding
PRRC2C	1	PRRC2C	proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]	protein_coding
PRRG1	X	PRRG1	proline rich and Gla domain 1 [Source:HGNC Symbol;Acc:HGNC:9469]	protein_coding
PRRG2	19	PRRG2	proline rich and Gla domain 2 [Source:HGNC Symbol;Acc:HGNC:9470]	protein_coding
PRRG3	X	PRRG3	proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798]	protein_coding
PRRG4	11	PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]	protein_coding
PRRT1	6	PRRT1	proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]	protein_coding
PRRT2	16	PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	protein_coding
PRRT3	3	PRRT3	proline rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:26591]	protein_coding
PRRT4	7	PRRT4	proline rich transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:37280]	protein_coding
PRRX1	1	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	protein_coding
PRRX2	9	PRRX2	paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338]	protein_coding
PRSS1	7	PRSS1	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]	protein_coding
PRSS12	4	PRSS12	serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477]	protein_coding
PRSS16	6	PRSS16	serine protease 16 [Source:HGNC Symbol;Acc:HGNC:9480]	protein_coding
PRSS21	16	PRSS21	serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]	protein_coding
PRSS22	16	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	protein_coding
PRSS23	11	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	protein_coding
PRSS27	16	PRSS27	serine protease 27 [Source:HGNC Symbol;Acc:HGNC:15475]	protein_coding
PRSS3	9	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	protein_coding
PRSS33	16	PRSS33	serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405]	protein_coding
PRSS35	6	PRSS35	serine protease 35 [Source:HGNC Symbol;Acc:HGNC:21387]	protein_coding
PRSS36	16	PRSS36	serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906]	protein_coding
PRSS37	7	PRSS37	serine protease 37 [Source:HGNC Symbol;Acc:HGNC:29211]	protein_coding
PRSS38	1	PRSS38	serine protease 38 [Source:HGNC Symbol;Acc:HGNC:29625]	protein_coding
PRSS41	16	PRSS41	serine protease 41 [Source:HGNC Symbol;Acc:HGNC:30715]	protein_coding
PRSS48	4	PRSS48	serine protease 48 [Source:HGNC Symbol;Acc:HGNC:24635]	protein_coding
PRSS50	3	PRSS50	serine protease 50 [Source:HGNC Symbol;Acc:HGNC:17910]	protein_coding
PRSS53	16	PRSS53	serine protease 53 [Source:HGNC Symbol;Acc:HGNC:34407]	protein_coding
PRSS54	16	PRSS54	serine protease 54 [Source:HGNC Symbol;Acc:HGNC:26336]	protein_coding
PRSS55	8	PRSS55	serine protease 55 [Source:HGNC Symbol;Acc:HGNC:30824]	protein_coding
PRSS56	2	PRSS56	serine protease 56 [Source:HGNC Symbol;Acc:HGNC:39433]	protein_coding
PRSS57	19	PRSS57	serine protease 57 [Source:HGNC Symbol;Acc:HGNC:31397]	protein_coding
PRSS58	7	PRSS58	serine protease 58 [Source:HGNC Symbol;Acc:HGNC:39125]	protein_coding
